date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,demand_source,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment,is_order_day,optimal_replenishment_pallet,optimal_replenishment_box,arrival_qty_box,ending_inventory_box,stockout_qty_box,holding_cost,stockout_cost,unit_transport_cost,target_replenishment_pallet,target_replenishment_box
2019-01-04,DC001,SKU045,2.0,2.0,2065.5714285714284,1857.5333333333333,1225.918070490665,14459.0,55726.0,4006.3199999999997,273.0,rolling_proxy,25748.0,181978.71,69572.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,14661.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU046,4.0,4.0,1730.4285714285713,1716.4666666666667,924.821955237271,12113.0,51494.0,6904.959999999999,5734.0,rolling_proxy,5737.0,181978.71,42488.0,224.0,52.0,0.96,159000.0,161000.0,5148.0,1,99,5148.0,0.0,0.0,2705.0,3.36,336.0,224.0,99.0,5148.0
2019-01-04,DC001,SKU047,1.0,1.0,237.85714285714286,193.36666666666667,153.11944865220602,1665.0,5801.0,224.51,167.0,rolling_proxy,0.0,181978.71,373.0,224.0,52.0,0.96,159000.0,161000.0,208.0,1,4,208.0,0.0,0.0,271.0,3.36,336.0,224.0,4.0,208.0
2019-01-04,DC001,SKU050,3.0,3.0,13.714285714285714,5.8,12.736823256474384,96.0,174.0,34.019999999999996,4.0,rolling_proxy,225.0,181978.71,47.0,224.0,56.0,0.768,159000.0,161000.0,0.0,1,0,0.0,0.0,88.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU052,1.0,1.0,1.4285714285714286,2.6666666666666665,7.381658952355418,10.0,80.0,1.7999999999999998,0.0,rolling_proxy,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0,1,0,0.0,0.0,64.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU053,7.0,7.0,1.1428571428571428,7.633333333333334,19.023640263863502,8.0,229.0,21.63,155.0,rolling_proxy,0.0,181978.71,0.0,224.0,80.0,0.852,159000.0,161000.0,80.0,1,1,80.0,0.0,0.0,3.0,3.36,336.0,224.0,1.0,80.0
2019-01-04,DC001,SKU054,3.0,3.0,9.0,10.2,15.308820986607687,63.0,306.0,28.08,10.0,rolling_proxy,1190.0,181978.71,6780.0,224.0,56.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,1151.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU055,1.0,1.0,0.5714285714285714,3.4,11.53429668423697,4.0,102.0,1.42,0.0,rolling_proxy,79.0,181978.71,875.0,224.0,50.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,75.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU056,2.0,2.0,27.0,23.6,37.35469626878705,189.0,708.0,51.959999999999994,0.0,rolling_proxy,664.0,181978.71,7.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,485.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU057,3.0,3.0,0.5714285714285714,0.6,1.8726095873584185,4.0,18.0,1.7399999999999998,0.0,rolling_proxy,0.0,181978.71,3.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
